"Phi [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Theta='0deg'"
89,-34.0380159707362,-32.4435461782894,-27.894678965438,-31.1360745163778,-31.8984042857465,-22.2487749229072,-26.0292042278412,-16.290499959164,-36.3556846809075,-19.0201183272608
90,-62.4758582262514,-38.5454745100042,-34.039747089304,-42.9819886320887,-38.6244462957981,-24.2704802737341,-29.5909235122519,-16.6844831201951,-39.3462414959506,-19.173719276793
91,-34.1232262735744,-32.454780625646,-42.6246964168433,-35.7777530006036,-31.447674517545,-26.111112500008,-32.0284486717348,-17.034900062425,-29.2849396393693,-18.8776908124942
92,-28.0872213826206,-27.3177060169238,-32.1846073481897,-28.5025235132628,-26.2288034699963,-26.8128827856561,-29.6664720384554,-17.3268760712817,-24.6618448638542,-18.2131937035796
93,-24.5613353741923,-23.9825859346057,-26.895234105122,-24.5705670557024,-22.8949506764938,-25.7754929259389,-26.0956343027576,-17.5456347717231,-21.6547716117162,-17.3246250024992
94,-22.0623850780794,-21.5531881458676,-23.5944590878818,-21.8711769269893,-20.4730502536648,-23.8364155713422,-23.2264656700228,-17.6784795929733,-19.4253878492214,-16.3409424374194
95,-20.1261547671166,-19.6499022689412,-21.2020944018281,-19.815568474738,-18.5765664045111,-21.839249556451,-20.9815199111411,-17.7169491489381,-17.6543767297296,-15.3455486840058
96,-18.5460314985578,-18.0879870702295,-19.327717966677,-18.1562107406536,-17.020160407035,-20.0510969169626,-19.1674641623542,-17.658480611653,-16.1859422593992,-14.3825625656142
97,-17.2118580230054,-16.7649564556046,-17.7879247162784,-16.7655901345153,-15.7015462888067,-18.4965976549566,-17.6548586524853,-17.5069488145863,-14.932356637039,-13.4714889083678
98,-16.0579042120543,-15.6183335221881,-16.4821122109011,-15.5693623289212,-14.5585012178219,-17.1438542159212,-16.3617231020777,-17.2718574854096,-13.8393246400852,-12.6185478625481
99,-15.0417844581651,-14.6073046902327,-15.3491893031731,-14.52038245594,-13.5504142486884,-15.9559329237614,-15.2344944444207,-16.9665147801727,-12.8709021316705,-11.8234238970948
100,-14.1345645090674,-13.7037715634352,-14.3492902603455,-13.5868729209161,-12.6493363263054,-14.9017234288427,-14.2367118400031,-16.6058649757672,-12.0020602508768,-11.0828768203184
101,-13.3156105118111,-12.8875784766471,-13.4549660931102,-12.746396641023,-11.8352205893873,-13.9568194201964,-13.3425982043541,-16.2046049047089,-11.2146706995028,-10.3925697461515
102,-12.569689619994,-12.1437824686473,-12.6465145726849,-11.9825219586799,-11.093203966002,-13.1023461114045,-12.5333241143891,-15.7759190498531,-10.4951819535479,-9.74795594868693
103,-11.8852355211354,-11.4610014214242,-11.9093165590837,-11.2828545307581,-10.4119638154412,-12.323647055496,-11.7947473880688,-15.3308601700491,-9.8331979603659,-9.14468523898805
104,-11.2532587779894,-10.8303675849631,-11.2322263624396,-10.6378146197102,-9.78267735513934,-11.6092212223768,-11.1159918144999,-14.8782240201473,-9.22056894844813,-8.57876991946113
105,-10.6666341268717,-10.2448387690825,-10.6065524232303,-10.0398447928288,-9.1983369132036,-10.9499302171145,-10.4885215643906,-14.42472316395,-8.65078776674394,-8.04663309026854
106,-10.11961832438,-9.69873005459028,-10.0253863093677,-9.48287814281939,-8.65328445116622,-10.3384202290995,-9.9055192947651,-13.9752984600984,-8.11857628542087,-7.54510160241358
107,-9.60751446097646,-9.1873864837197,-9.48314635442227,-8.96197055923902,-8.14288622498509,-9.76870122161349,-9.36145663529555,-13.5334626957796,-7.61959429254493,-7.07137504221032
108,-9.12643239439354,-8.70694873401298,-8.97525850828215,-8.47303984054487,-7.66329985981636,-9.23583844059879,-8.85179024655026,-13.1016196462861,-7.15022977980381,-6.62298634373592
109,-8.67311405717707,-8.25418180503414,-8.49792770685269,-8.01267643747375,-7.21130404729987,-8.73572386332047,-8.37274206189766,-12.6813349154867,-6.70744475357917,-6.1977615539133
