"Theta [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13.93GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='14.5GHz' Phi='0deg'"
51,0.963973940354261,1.26973710846541,1.24236793606314,1.22020301211321,1.68082827363152,0.421745380427493,0.0150118388976698,-4.79129976815584,-0.580064453383325,-2.72993854330325,-6.60279578061687,-9.81138195134274
52,0.960728278021829,1.26375144329212,1.23244933223828,1.20107040594406,1.66024646817544,0.400761350308103,0.000539223144080488,-4.80566299083642,-0.671544635650459,-2.93509524737555,-6.9728838729725,-10.2126272515883
53,0.957512083023984,1.25787997136052,1.22265132734978,1.1821199927848,1.64049448402587,0.380211447689052,-0.0121232084148537,-4.81455579597995,-0.762855839775907,-3.13768391869731,-7.3382365147623,-10.6155124327038
54,0.954330049747528,1.25212822456863,1.21297928584011,1.16340156024225,1.62159799517808,0.360147322514707,-0.0228404323871119,-4.81811871166171,-0.854328372537,-3.33634816715352,-7.69698412946941,-11.0198144444583
55,0.951186850886592,1.24650139145598,1.20343911238072,1.1449640233982,1.60357247192365,0.340643958379838,-0.0314718444327355,-4.81658454413944,-0.946178959278845,-3.5297385899473,-8.04762156148749,-11.425141893854
56,0.948087128280318,1.24100436704038,1.19403735251196,1.12685493828542,1.5864240266579,0.321796257975377,-0.0378810074358826,-4.81026947646971,-1.03849082098989,-3.71658879590613,-8.38900001126935,-11.8306329920718
57,0.945035483860136,1.23564180236641,1.1847812741617,1.10912006676921,1.57015049005145,0.303714828706429,-0.0419450412089675,-4.79955976449499,-1.13120383702135,-3.89578907261088,-8.72025137896579,-12.234615589556
58,0.942036470750488,1.23041815271815,1.17567892910978,1.09180299969875,1.5547426612406,0.286521205128821,-0.0435630998696511,-4.78489526831345,-1.22411482526886,-4.06644964657265,-9.04065050243946,-12.6342645005408
59,0.939094584563567,1.22533772354086,1.1667391939738,1.07494484310833,1.5401856734794,0.270342756921328,-0.0426634744151844,-4.7667512342069,-1.31688732974478,-4.22794607731676,-9.34943196336994,-13.025305812472
60,0.936214254924944,1.2204047132232,1.15797179077486,1.05858397016971,1.52646041731693,0.255307530373093,-0.0392089759811757,-4.74561974875158,-1.40906976210174,-4.37994126169705,-9.64558763157375,-13.4018366252545
61,0.933399837263054,1.21562325201064,1.14938728758848,1.04275583958967,1.51354496646849,0.241539258705423,-0.0332003896152446,-4.72199214608024,-1.50012030210652,-4.52238156399026,-9.92767761248314,-13.756347650479
62,0.930655604891369,1.21099743644655,1.14099708018687,1.02749287927122,1.50141595669793,0.229152753294251,-0.0246779276674395,-4.69634340152096,-1.58943662641567,-4.65546816043096,-10.1936901731622,-14.0800433019507
63,0.927985741407854,1.20653135886808,1.1328133559267,1.01282443236425,1.49004987472087,0.218249855757139,-0.0137207446206767,-4.66911923814706,-1.67638831482735,-4.77960805286612,-10.4409851897823,-14.3635289154831
64,0.925394333431941,1.20222913161483,1.12484904142614,0.998776761364248,1.47942422186335,0.208916092016357,-0.000444691134990016,-4.64072635311143,-1.76034969330575,-4.89535168253785,-10.6663498624386,-14.5978570698977
65,0.922885363695168,1.19809490573732,1.11711773580338,0.985373104707438,1.46951852547481,0.20121812623157,0.0150014235975196,-4.61152587508663,-1.84073092906687,-5.00332524077188,-10.8661833674232,-14.7757946931831
66,0.920462704497248,1.19413288411549,1.1096336314154,0.97263377937731,1.46031517945149,0.195202067465019,0.0324407301523247,-4.58182991754637,-1.9170054039261,-5.10416556414984,-11.0368073736746,-14.8930333285737
67,0.918130111535558,1.19034732901405,1.10241142414107,0.960576322390724,1.45180010329115,0.19089263767419,0.0516739956488265,-4.55190090745147,-1.98873175291125,-5.19846417123027,-11.1748726262814,-14.9490004818318
68,0.915891218112049,1.18674256420765,1.09546621529935,0.949215663668452,1.4439632165638,0.188293168553612,0.0724857547743327,-4.52195324718186,-2.05556944162595,-5.28672498482307,-11.2778030342883,-14.947011990749
69,0.913749529718188,1.18332297190502,1.08881340728614,0.938564322703727,1.43679873231146,0.187386358983513,0.0946505336803784,-4.49215680393703,-2.11728732406218,-5.36933805503454,-11.3441975155501,-14.8937210568265
70,0.911708418995198,1.18009298478465,1.08246859495656,0.928632621600613,1.43030527852552,0.188135696038984,0.117938867330145,-4.4626417057155,-2.17376521370205,-5.44656952930038,-11.3741073438713,-14.7980584110491
